name,category,description
lua nova hotel,hotel,situado a 250 m pela saida lateral do terminal rodoviario tietemetro portuguesatiete a 5minde carro do anhembi centro de exposicoes 10min de caminhada do expo center norte 3min de caminhada do shopping center norte o aeroporto internacional de guarulhos fica a 227 km de distancia aprox 2530min de carro os quartos claros sao decorados em tons agradaveis todos os quartos do hotel lua nova possuem tv e roupa de cama banheiro privativo wifi e cafe da manha gratuito
gloria plaza hotel,hotel,um hotel romantico somente para adultos adults only com decoracao moderna e tematica oriental atendendo ao gosto dos clientes mais exigentes localizado no bairro da liberdade a 200 metros da estacao do metro no coracao da cidade de sao paulo o gloria plaza hotel conta com seis categorias de suites destaque para suite hidro master equipada com arcondicionado split cama super king size banheira de hidromassagem dupla iluminacao especial wifi sistema de som bluetooth e tv lcd 49
san juan business sao paulo,hotel,nao se pode perder tempo em uma grande cidade como sao paulo e por isso que a rede san juan oferece uma unidade com localizacao privilegiada e diversas facilidades para que seus hospedes possam aproveitar tudo que a capital tem a oferecer localizado e
charlie ibirapuera hotel,hotel,o charlie sabia flat possui apartamentos novos e incriveis prontos para morar ao lado da avenida ibirapuera e estacao moema do metrolinha lilas pertinho da avenida indianopolis shopping ibirapuera e facil acesso a avenida helio pelegrino e a 10 minutos do aeroporto de congonhas conheca o charlie sabia flat aptos studio mobiliados com cozinha equipada fast wifi cama e enxoval padrao de hotel amenities exclusivos e servicos sob demanda o charlie esta onde voce precisa
hotel laghetto stilo sao paulo,hotel,o laghetto stilo sao paulo traz a essencia da paixao em servir a capital paulista localizado em uma das regioes mais nobres da cidade ele fica proximo ao parque do ibirapuera avenida paulista e do bairro liberdade sendo o primeiro hotel da rede em sao paulo o mesmo possui piscina fitness center centro de eventos elevadores panoramicos internet wifi gratis e estacionamento privativo o hotel conta com restaurante proprio da marca laghetto seu caozinho e gatinho de pequeno e medio porte sao bemvindos em nosso hotel consulte o valor adicional estacionamento r 4000dia academia em reforma de 1104 a 1005 piscina em manutencao por tempo indeterminado reservas em regime de soft opening ja disponiveis
transamerica executive bela cintra,hotel,localizado a apenas 1 quadra da av paulista e proximo a estacao consolacao do metro
transamerica executive faria lima,hotel,a uma quadra da avenida faria lima a unidade esta no famoso bairro consagrado pelas inumeras opcoes de gastronomia e entretenimento o itaim bibi
ibis sao paulo interlagos,hotel,o hotel ibis sao paulo interlagos tem uma excelente localizacao situado na avenida interlagos perto do autodromo de interlagos onde voce pode participar de shows e festivais de musica alem de assistir corridas o hotel oferece todos os beneficios que voce deseja em sua viagem preco acessivel qualidade no atendimento e quartos modernos e confortaveis equipados com wifi gratis ar condicionado e tv a cabo alem disso o restaurante oferece um delicioso cafe da manha para voce comecar bem o dia o hotel ibis sao paulo interlagos esta localizado em frente ao shopping interlagos importante centro comercial da regiao nossos hospedes ainda contam com a praticidade de ter facil acesso ao aeroporto de congonhas localizado a apenas 6 km do hotel entre os pontos turisticos mais proximos ao hotel ibis sao paulo interlagos estao o parque da monica localizado no shopping market place e o santuario mae de deus com missas celebradas pelo padre macelo rossiacolhedor moderno e confortavel com uma cama aconchegante e um banheiro funcional o quarto tem tudo para o agradar
novotel sao paulo berrini,hotel,o novotel sao paulo berrini agrada tanto viajantes a negocios quanto viajantes a lazer localizado no principal centro financeiro de sao paulo e a 3 km da avenida berrini o hotel tambem esta proximo ao transamerica expo center e ao sao paulo expo e a apenas 200 metros do consulado americano caso voce queira tirar o visto americano mas se voce busca lazer o hotel fica a 800 metros do shopping morumbi e perto do parque da monica do estadio morumbi e de uma variedade de bares restaurantes teatros e museus a apenas 5 km do aeroporto de congonhas voce chega no novotel sao paulo berrini e pode aproveitar nossos servicos primorosos e estruturas modernas o hotel possui academia sauna 5 salas de eventos espaco family e o gourmet bar onde voce pode saborear o melhor da gastronomia internacional e contemporanea alem de experimentar drinks exclusivos apos um dia proveitoso descanse em quartos com wifi gratis arcondicionado tv tela plana banheiro privativo e mais comodidades para uma otima hospedagem tambem ha acomodacoes especiais para familias e para quem possui mobilidade reduzida traga seu caozinho com voce se ele tem ate 10 kg somos um hotel pet friendly aviso temporario o restaurante esta servindo apenas cafe da manha e estara fechado para almoco jantar e servico de quarto em abril de 2021
bela cintra flat service,flat/apart hotel,voce se qualifica para um desconto genius em bela cintra flat service proximo aos principais pontos de turismo de sao paulo para economizar nesta acomodacao basta fazer o logino bela cintra flat service proximo aos principais pontos de turismo de sao paulo oferece acomodacoes em sao paulo o shopping center 3 fica a 500 metros da propriedade o wifi gratuito esta disponivel em toda a propriedadea acomodacao dispoe de tv ha tambem uma cozinha compacta com microondas para sua comodidade a roupa de cama e fornecidao bela cintra flat service proximo aos principais pontos de turismo de sao paulo fica a 600 metros do shopping frei caneca e do hospital sirio libanes o aeroporto mais proximo e o aeroporto de sao paulocongonhas a 8 km da propriedade o estacionamento privativo gratuito tambem esta disponivel neste aparthotel
ibis styles sao paulo anhembi,hotel,embarque literalmente em uma experiencia diferenciada confortavel e com otima relacao custobeneficio no ibis styles anhembi em sao paulo com design moderno e decoracao inspirada no tema aviacao o hotel oferece quartos com camas sweet bed wifi gratis e um delicioso cafe da manha servido diariamente e alem disso tambem conta com espaco kids restaurante e bar 14 ibis estacionamento quartos para familias e quartos para pessoas com mobilidade reduzida pronto para decolar quem visita sao paulo a negocios pode contar com a facilidade de se hospedar perto de dois grandes centros de convencoes o expo center norte a 36 km e o centro de convencoes do parque anhembi a 12 km alem da comodidade de estar ao lado do metro ja quem curte turismo pode visitar pontos turisticos como a pinacoteca a 3 km o museu da lingua portuguesa a 33 km e o patio do colegio a 45 km se quiser aproveitar e fazer compras o bras e a 25 de marco estao a uma curta distancia do hotel
samba belo horizonte vintage,hotel,situado proximo a principal avenida do centro de belo horizonte o hotel samba bh vintage sera inaugurado em dezembro de 2022 trazendo a tona os ares classicos da decada de 80 totalmente reformado porem mantendo detalhes originais da construcao tornam o empreendimento um novo classico na regiao uma curiosidade interessante e a existencia de um museu com pedacos da historia tanto do edificio quanto de seu fundador joel augusto de almeida como maquina de escrever murais pintados por artistas que residiram no local enfeites e mais o empreendimento se adequa tanto a demanda corporativa eventos e ate mesmo lazer pois o samba bh vintage esta situado proximo aos principais centros de convencoes polo da moda de bh no barro preto alem de ser estrategico para turistas que buscam a praticidade de logistica de acesso aos pontos classicos da cidade como o parque municipal shopping rodoviaria feira de artesanato e outros
beaga convention expominas by mhb,hotel,pontos de interesse proximos aeroporto confins 43 km aeroporto pampulha 13 km ufmg 8 km puc mg 36 km mineirao mineirinho 103 km feira hippie 57 km centro de exposicao 15 km minascentro 4 km mercado central 42 km rodoviaria 56
transamerica executive belo horizonte,hotel,o go inn belo horizonte localizase em uma area de grande concentracao de empresas e industrias na cidade ao lado do shopping delrey um dos mais tradicionais centros de compras de belo horizonte o shopping del rey conta com mais de 180 lojas cinema c
san diego suites pampulha hotel,hotel,o san diego suites pampulha esta localizado na regiao da pampulha em belo horizonte o hotel oferece 90 apartamentos confortaveis e decorados com muito bom gosto com toda a acessibilidade para pne todos os apartamentos oferecem mesa de trabalho tv led internet wifi cortesia ar condicionado adega e secador de cabelo a gastronomia do hotel e assinada pelo restaurante saatore que oferece culinaria de alto padrao com room service cafe da manha almoco e jantar para os momentos de lazer dispoe de piscina o hotel aceita caes de pequeno porte ate 15kg com custo adicional e mediante apresentacao do cartao de vacinacao original
flat california,flat/apart hotel,nosso hotel esta localizado no bairro sion um charmoso ponto da regiao centrosul da capital mineira
max savassi apart service,flat/apart hotel,localizado em um quarteirao tranquilo e em um dos pontos mais nobre de belo horizonte o max savassi apart service oferece a quem nele se hospeda servico de categoria que garantem conforto e comodidade com suas 123 suites todas com tv a cabo ar condicionado frigobar
cheverny apart hotel, flat/apart hotel,cheverny apart hotel localizado em area nobre de belo horizonte no bairro de lourdes proximo a praca da liberdade e ao centro comercial da cidade seja um lazer uo negocio o cheverny apart hotel proporciona aos seus hospedes conforto e atendimento pe
mercure belo horizonte savassi hotel,hotel,o hotel mercure bh savassi esta localizado na rua cicero ferreira esquina com a avenida do contorno o hotel esta dentro do complexo lifecenter um dos mais importantes centros clinicos da cidade e a 5 minutos da famosa regiao da savassi onde estao os melhores bares e restaurantes da cidade o hotel esta proximo a famosa praca floriano peixoto e tem facil acesso as principais areas empresariais da cidade o hotel fica a cerca e a 45 km do aeroporto de confins
pousada turmalina,pousada,pousada aconchegante e familiar localizada em belo horizonte proxima a rodoviaria e shoppings
pousada cantim de bh,pousada,os quartos possuem decoracao simples e moderna vista do jardim tv frigobar banheiro privativo chuveiro com box amplo e toalhas de banho alem disso tambem dispoem de escrivaninha roupa de cama ventilador e outras comodidades
arena copacabana hotel,hotel,0
residence inn by marriott rio de janeiro barra da tijuca,hotel,proximo a atrativo locais como olympic park barra da tijuca beach recreio dos bandeirantes beach barra shopping brazilian football museum city of arts riocentro shopping metropolitano barra village m
orla copacabana,hotel,situado de frente para a praia de copacabana o orla copacabana hotel fica a menos de 800 metros da praia de ipanema e dispoe de wifi gratis piscina na cobertura e restaurante a propriedade tem vista panoramica do pao de acucar e do maros quartos do orla copacabana possuem decoracao moderna em cores neutras todos contam com arcondicionado tv a cabo e frigobar alguns tem vista panoramica do maro buffet de cafe da manha variado e servido diariamente de acordo com a diaria escolhida com opcoes internacionais e regionais no restaurante do hotela propriedade possui sauna e academia com vista da praia voce tambem pode desfrutar da recepcao 24 horas e do servico de quarto a propriedade oferece wifi de 500 mb
wyndham rio de janeiro barra,hotel,nossa piscina estara em obras no periodo de 07 de agosto a 30 de setembro de acordo com o decreto municipal n 49894 de 01122021 para poder efetuar check in e utilizar as dependencias do hotel e necessario a apresentacao do comprovante de vacinacao o mesmo devera ser apresentado na recepcao do hotel wyndham rio de janeiro barra e um calmo oasis no meio da agitacao e atividade de uma das areas de crescimento mais rapido do rio de janeiro nossa localizacao em frente ao mar oferece facil acesso aos pontos mais importantes da cidade com uma atmosfera quente e descontraida se voce esta a trabalho na cidade do rio um mergulho em nossas piscinas e o que voce precisa para se desligar encontrese com seus amigos e colegas com um drink refrescante no bar da piscina ou relaxe na sauna seca ou umida jacuzzi ou com os servicos e confortos de nosso fitness center apos um emocionante dia recolhase em nossos espacosos quartos e suites e contemple a vista do mar da praia da barra de sua varanda conectese com quem esta longe usando nosso acesso de internet de alta velocidade o acesso de internet sem fio esta disponivel em todas as areas sociais e apartamentos
grand hyatt rio de janeiro,resort,com piscina ao ar livre e spa o grand hyatt rio de janeiro oferece localizacao estrategica no centro da barra da tijuca situado entre o mar a lagoa e as montanhas bem em frente a praia da reserva o hotel apresenta sauna e academia com estudio de ioga
hotel atlantico business,hotel,pblocalizacao do estabelecimentob br com localizacao central em rio de janeiro hotel atlantico business centro fica a 3 minutos de carro de consulado geral dos estados unidos no rio de janeiro e a 12 minutos de praia do flamengo este hotel fica a 64 km de estadio do maracana e a 83 km de praia de copacabanappbquartosb br sintase em casa em um de nossos 209 quartos com frigobares e tvs lcd o wifi de cortesia mantem voce conectado e ha programas a cabo para sua diversao banheiro privativo com chuveiros apresenta produtos de toalete de cortesia e secadores de cabelo as comodidades incluem cofres para notebook e cortinas blackout alem disso o servico de arrumacao nos quartos e fornecido diariamenteppbcomodidadesb br aproveite as oportunidades de recreacao oferecidas incluindo um centro de bemestar uma piscina externa e uma sauna seca este hotel oferece wifi de cortesia servicos de concierge e tv na area comumppbalimentacaob br va ao restaurante deste hotel para saborear um delicioso almoco ou jantar o local tambem serve refeicoes na cafeteria e oferece servico de quarto horario limitado no fim do dia relaxe com uma bebida refrescante em um barlounge ou um bar ao lado da piscina um cafe da manha buffet de cortesia e servido diariamente entre 6h30 e 10h00p
flat suites in rio stay,flat/apart hotel,pblocalizacao do estabelecimentob br em rio de janeiro na area de jacarepagua flat suites in rio stay fica a 15 minutos de carro de centro de convencoes riocentro e de jeunesse arena este aparthotel fica a 106 km de praia do recreio dos bandeirantes e a 102 km de lago da tijucappbquartosb br sintase em casa em um de nossos 39 quartos com arcondicionado geladeiras e tvs de tela plana wifi de cortesia esta disponivel para manter voce conectado os banheiros apresentam chuveirosppbcomodidadesb br aproveite as instalacoes recreativas que incluem uma banheira de hidromassagem uma quadra de tenis externa e uma sauna a vaporppbalimentacaob br este aparthotel oferece servico de quarto horario limitado ha cafe da manha buffet disponive diariamente mediante uma taxap
hotel vina del mar,hotel,localizado no centro da cidade ao lado dos arcos da lapa cartao postal do rio de janeiro estamos a 5 minutos de duas estacoes do metro cinelandia e gloria e a 10 minutos do aeroporto santos dumont em 15 minutos e possivel chegar nos principais pontos turisticos do rio de janeiro tais como aterro do flamengo pao de acucar corcovado copacabana e maracana dispomos de 81 quartos que podem ser individuais duplos triplos ou quadruplos todos os quartos possuem ar condicionado tv lcd a cabo frigobar fechadura eletronica e cofre digital o hotel vina del mar possui garagem interna para 80 veiculos restaurante business center salas para eventos e internet sem fio wifi gratuita
ibis rio de janeiro parque olimpico,hotel,ibis rio de janeiro parque olimpico esta localizado em rio de janeiro conta com wifi gratis nas areas comuns servico de manobrista e mesa de sinuca alem de recepcao 24hvoce precisa saber proibido fumar em todos os ambientes a hospedagem serve diariamente o cafe da manha com custo adicional o qual se oferece no bar entre os servicos da propriedade encontramse business center jardim e elevador por um custo adicional a propriedade conta com deposito de bagagem e servico de lavanderia
windsor excelsior hotel,hotel,conforto e servicos unicos a beiramar o windsor excelsior hotel tem localizacao privilegiada com vista panoramica para a praia de copacabana palco de grandes eventos e da maior festa de reveillon do mundo o bairro e conhecido pelo belo calcadao da orla e pelas diversas opcoes de lazer gastronomia e cultura para hospedagens a lazer ou a trabalho oferecemos uma experiencia unica com infraestrutura completa de um hotel quatro estrelas membro da rede windsor hoteis sua localizacao e estrategica para quem deseja explorar as maravilhas da cidade do rio de janeiro proximo a diversos terminais de transporte como aeroportos e metro
