name;category;description
Lua Nova Hotel;hotel;Situado a 250 m pela saída lateral do Terminal Rodoviário Tietê/Metro Portuguesa-Tietê,. A 5min.de carro do Anhembi Centro de exposições, 10min de caminhada do Expo Center Norte, 3min. de caminhada do Shopping Center Norte, O Aeroporto Internacional de Guarulhos fica a 22,7 km de distância aprox. 25/30min. de carro. Os quartos claros são decorados em tons agradáveis, todos os quartos do Hotel Lua Nova possuem TV e roupa de cama, banheiro privativo, Wifi e café da manhã gratuito.   
Glória Plaza Hotel;hotel;Um hotel romântico somente para adultos (Adults Only), com decoração moderna e temática oriental, atendendo ao gosto dos clientes mais exigentes. Localizado no bairro da Liberdade, a 200 metros da estação do metrô, no coração da cidade de São Paulo, o Glória Plaza Hotel conta com seis categorias de suítes. Destaque para Suíte Hidro Master equipada com ar-condicionado split, cama super king size, banheira de hidromassagem dupla, iluminação especial, wi-fi, sistema de som bluetooth e TV LCD 49".
San Juan Business São Paulo;hotel;Não se pode perder tempo em uma grande cidade como São Paulo. É por isso que a rede San Juan oferece uma unidade com localização privilegiada e diversas facilidades, para que seus hóspedes possam aproveitar tudo que a capital tem a oferecer. Localizado e
Paraíso Suites by Charlie;flat/apart hotel;Com uma localização atraente no bairro de Vila Mariana, em São Paulo, o Paulista Suites by Charlie fica a 1,8 km do Pavilhão Ciccillo Matarazzo, a 2,2 km do Parque do Ibirapuera e a 2,3 km do MASP São Paulo. A propriedade oferece recepção 24 horas, lounge compartilhado e Wi-Fi gratuito em todas as áreas. O hotel dispõe de quartos família. Os quartos dispõem de ar-condicionado, área de estar, TV de tela plana a cabo, cofre e banheiro privativo com chuveiro. O Paulista Suites by Charlie dispõe de alguns quartos com vista da cidade, e todos os quartos têm uma chaleira. As acomodações incluem roupa de cama e toalhas. No Paulista Suites by Charlie, você pode desfrutar de um café da manhã à la carte. Um business center está à sua disposição no hotel. O Paulista Suites by Charlie fica a 2,9 km da Catedral Metropolitana de São Paulo e a 3,4 km do Edifício Copan. O aeroporto mais próximo é o Aeroporto de Congonhas&#47;São Paulo, a 6 km da acomodação.
Charlie Ibirapuera Hotel;hotel;O Charlie Sabiá Flat  possui apartamentos novos e incríveis prontos para morar ao lado da Avenida Ibirapuera e estação Moema do metrô(linha Lilás), pertinho da Avenida Indianópolis, Shopping Ibirapuera e fácil acesso a Avenida Hélio Pelegrino e a 10 minutos do Aeroporto de Congonhas. Conheça o Charlie Sabiá Flat, aptos Studio mobiliados, com cozinha equipada, fast Wi-fi, cama e enxoval padrão de hotel, amenities exclusivos e serviços sob demanda. O Charlie está onde você precisa!
Hotel Laghetto Stilo São Paulo;hotel;O Laghetto Stilo São Paulo traz a essência da paixão em servir à capital Paulista, localizado em uma das regiões mais nobres da cidade, ele fica próximo ao Parque do Ibirapuera, Avenida Paulista e do Bairro Liberdade. Sendo o primeiro Hotel da Rede em São Paulo, o mesmo possui  piscina, fitness center, centro de eventos, elevadores panorâmicos, Internet Wi-fi grátis e estacionamento privativo. O hotel conta com restaurante próprio da marca Laghetto. Seu cãozinho e gatinho de pequeno e médio porte, são bem-vindos em nosso hotel. Consulte o valor adicional. Estacionamento R$ 40,00/dia.    **Academia em reforma de 11/04 a 10/05.** **Piscina em manutenção por tempo indeterminado** **Reservas em regime de Soft Opening já disponíveis.**
Transamerica Executive Bela Cintra;hotel;Localizado a apenas 1 quadra da Av. Paulista e próximo a estação Consolação do metrô.
Transamerica Executive Faria Lima;hotel;A uma quadra da Avenida Faria Lima, a unidade está no famoso bairro consagrado pelas inúmeras opções de gastronomia e entretenimento, o Itaim Bibi.
Ibis São Paulo Interlagos;hotel;"O Hotel ibis São Paulo Interlagos tem uma excelente localização, situado na avenida Interlagos, perto do Autódromo de Interlagos, onde você pode participar de shows e festivais de música, além de assistir corridas. O hotel oferece todos os benefícios que você deseja em sua viagem: preço acessível, qualidade no atendimento e quartos modernos e confortáveis, equipados com Wi-fi grátis, ar condicionado e TV a cabo. Além disso, o restaurante oferece um delicioso café da manhã para você começar bem o dia.  O Hotel ibis São Paulo Interlagos esta localizado em frente ao Shopping Interlagos, importante centro comercial da região. Nossos hóspedes ainda contam com a praticidade de ter fácil acesso ao Aeroporto de Congonhas, localizado a apenas 6 km do hotel. Entre os pontos turísticos mais próximos ao Hotel ibis São Paulo Interlagos estão o Parque da Mônica localizado no Shopping Market Place e o Santuário Mãe de Deus com missas celebradas pelo padre Macelo Rossi.Acolhedor, moderno e confortável, com uma cama aconchegante e um banheiro funcional. O quarto tem tudo para o agradar."						 						 
Novotel São Paulo Berrini;hotel;O Novotel São Paulo Berrini agrada tanto viajantes a negócios, quanto viajantes a lazer. Localizado no principal centro financeiro de São Paulo e a 3 km da Avenida Berrini, o hotel também está próximo ao Transamérica Expo Center e ao São Paulo Expo, e a apenas 200 metros do Consulado Americano, caso você queira tirar o visto americano. Mas, se você busca lazer, o hotel fica a 800 metros do Shopping Morumbi e perto do Parque da Mônica, do Estádio Morumbi e de uma variedade de bares, restaurantes, teatros e museus. A apenas 5 km do Aeroporto de Congonhas, você chega no Novotel São Paulo Berrini e pode aproveitar nossos serviços primorosos e estruturas modernas. O hotel possui academia, sauna, 5 salas de eventos, espaço family e o Gourmet Bar, onde você pode saborear o melhor da gastronomia internacional e contemporânea, além de experimentar drinks exclusivos. Após um dia proveitoso, descanse em quartos com WiFi grátis, ar-condicionado, TV tela plana, banheiro privativo e mais comodidades para uma ótima hospedagem. Também há acomodações especiais para famílias e para quem possui mobilidade reduzida. Traga seu cãozinho com você, se ele tem até 10 kg. Somos um hotel pet friendly!  AVISO TEMPORARIO  O restaurante está servindo apenas café da manhã e estará fechado para almoço, jantar e serviço de quarto em abril de 2021
Bela Cintra Flat Service ;flat/apart hotel;Você se qualifica para um desconto Genius em Bela Cintra Flat Service próximo aos principais pontos de turismo de São Paulo! Para economizar nesta acomodação, basta fazer o login.O Bela Cintra Flat Service próximo aos principais pontos de turismo de São Paulo oferece acomodações em São Paulo. O Shopping Center 3 fica a 500 metros da propriedade. O Wi-Fi gratuito está disponível em toda a propriedade.A acomodação dispõe de TV. Há também uma cozinha compacta com micro-ondas. Para sua comodidade, a roupa de cama é fornecida.O Bela Cintra Flat Service próximo aos principais pontos de turismo de São Paulo fica a 600 metros do Shopping Frei Caneca e do Hospital Sírio Libanês. O aeroporto mais próximo é o Aeroporto de São Paulo/Congonhas, a 8 km da propriedade. O estacionamento privativo gratuito também está disponível neste apart-hotel.
Ibis Styles São Paulo Anhembi ;hotel;Embarque, literalmente, em uma experiência diferenciada, confortável e com ótima relação custo-benefício no ibis Styles Anhembi, em São Paulo. Com design moderno e decoração inspirada no tema aviação, o hotel oferece quartos com camas sweet bed, Wi-Fi grátis e um delicioso café da manhã servido diariamente. E além disso, também conta com espaço kids, restaurante e bar 14 IBIS, estacionamento, quartos para famílias e quartos para pessoas com mobilidade reduzida. Pronto para decolar? Quem visita São Paulo a negócios pode contar com a facilidade de se hospedar perto de dois grandes centros de convenções: o Expo Center Norte, a 3,6 km, e o Centro de Convenções do Parque Anhembi, a 1,2 km, além da comodidade de estar ao lado do metrô. Já quem curte turismo, pode visitar pontos turísticos como a Pinacoteca, a 3 km, o Museu da Língua Portuguesa, a 3,3 km, e o Pátio do Colégio, a 4,5 km. Se quiser aproveitar e fazer compras, o Brás e a 25 de Março estão a uma curta distância do hotel.
Samba Belo Horizonte Vintage;hotel;Situado próximo a principal avenida do Centro de Belo Horizonte, o hotel Samba BH Vintage, será inaugurado em dezembro de 2022. Trazendo à tona os ares clássicos da década de 80, totalmente reformado porem mantendo detalhes originais da construção, tornam o empreendimento um novo clássico na região. Uma curiosidade interessante é a existência de um museu com pedaços da história tanto do edifício quanto de seu fundador, Joel Augusto de Almeida, como máquina de escrever, murais pintados por artistas que residiram no local, enfeites e mais. O empreendimento se adequa tanto a demanda corporativa, eventos e até mesmo lazer pois o Samba BH Vintage está situado próximo aos principais centros de convenções, pólo da moda de BH no Barro Preto além de ser estratégico para turistas que buscam a praticidade de logística de acesso aos pontos clássicos da cidade como o parque municipal, shopping, rodoviária, feira de Artesanato e outros.
Beaga Convention Expominas by MHB;não classificado;PONTOS DE INTERESSE PRÓXIMOS Aeroporto CONFINS: 43 Km Aeroporto PAMPULHA: 13 km UFMG: 8 KM PUC – MG: 3,6 km Mineirão / Mineirinho: 10,3 km Feira Hippie: 5.7 km Centro de Exposição: 1,5 km Minascentro: 4 km Mercado Central: 4,2 km Rodoviária: 5,6
Transamerica Executive Belo Horizonte;hotel;O Go Inn Belo Horizonte localiza-se em uma área de grande concentração de empresas e industrias na cidade, ao lado do Shopping DelRey, um dos mais tradicionais centros de compras de Belo Horizonte. O Shopping Del Rey conta com mais de 180 lojas, cinema c
San Diego Suítes Pampulha- Hotel;hotel; O San Diego Suites Pampulha está localizado na região da Pampulha, em Belo Horizonte, o hotel oferece 90 apartamentos confortáveis e decorados com muito bom gosto, com toda a acessibilidade para PNE Todos os apartamentos oferecem mesa de trabalho, TV LED, internet Wi-Fi cortesia, ar condicionado, adega e secador de cabelo. A Gastronomia do hotel é assinada pelo Restaurante Saatore, que oferece culinária de alto padrão com room service, café da manhã, almoço e jantar. Para os momentos de lazer dispõe de piscina. O Hotel aceita cães de pequeno porte até 15kg com custo adicional e mediante apresentação do cartão de vacinação original.
Flat Califórnia;flat/apart hotel;Nosso hotel está localizado no Bairro Sion, um charmoso ponto da Região Centro-sul da Capital Mineira. 
Max Savassi Apart Service;não classificado;Localizado em um quarteirão tranqüilo, e em um dos pontos mais nobre de Belo Horizonte, o Max Savassi Apart Service oferece a quem nele se hospeda, serviço de categoria que garantem conforto e comodidade. Com suas 123 suítes todas com tv a cabo, ar condicionado, frigobar.
Cheverny Apart Hotel;hotel;Cheverny Apart Hotel, LOCALIZADO em área nobre de Belo Horizonte, no bairro de Lourdes, proximo a Praça da Liberdade e ao Centro Comercial da Cidade. SEJA um lazer UO Negócio, o Cheverny Apart Hotel proporciona AOS SEUS Hóspedes Conforto e atendimento Pe
